SUPPLIER,PRODUCT,AVAILABILITY_Q1,AVAILABILITY_Q2,AVAILABILITY_Q3,AVAILABILITY_Q4,AVAILABILITY_Q5,SUPPLIERS_Q1,SUPPLIERS_Q2,SUPPLIERS_Q3,SUPPLIERS_Q4,SUPPLIERS_Q5,PRODUCT_COMPLEXITY_Q1,PRODUCT_COMPLEXITY_Q2,PRODUCT_COMPLEXITY_Q3,PRODUCT_COMPLEXITY_Q4,PRODUCT_COMPLEXITY_Q5,PRICE_STABILITY_Q1,PRICE_STABILITY_Q2,PRICE_STABILITY_Q3,PRICE_STABILITY_Q4,PRICE_STABILITY_Q5,QUANTITYORDERED,PRICEEACH
Toyota,Avalon,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,1284,25331
Toyota,Camry,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,981,32938
Toyota,Corolla,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,784,33567
Toyota,Prius,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,1442,27718
Toyota,Yaris,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,1053,31998
Toyota,Sienna,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,Y,2474,30059
Volkswagen,Atlas,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,801,29596
Volkswagen,Tiguan,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,2668,28281
Volkswagen,Taos,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,2193,20907
Volkswagen,Jetta,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,1749,31964
Volkswagen,Arteon,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,2107,33672
Volkswagen,Golf,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,1694,20549
Ford,Explorer,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,2224,21888
Ford,Mustang,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,1914,33709
Ford,Fiesta,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,1281,28779
Ford,Focus,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,1516,21185
Ford,Escort,N,N,N,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,1607,21987
Ford,Bronco,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,1984,21102
Honda,HR-V,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,1431,28909
Honda,Civic Sedan,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,N,1917,33800
Honda,Civic Hatchback,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,2741,24012
Honda,Odyssey,N,N,Y,N,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,1039,21384
Honda,Accord Hybrid,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,1937,22388
Honda,Ridgeline,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,1828,31378
